"","Year","Electric.power.industry","Gross.total","Percent_electric"
"1",1990,1880.548218,6453.450223,29.1401987001892
"2",1991,1874.832994,6382.938922,29.372566726873
"3",1992,1890.103637,6497.290079,29.0906457002595
"4",1993,1965.574487,6613.39575,29.7211079043621
"5",1994,1990.300202,6700.778176,29.7025233446558
"6",1995,2006.87748,6785.363615,29.5765649988678
"7",1996,2079.434227,6990.925581,29.7447627343009
"8",1997,2144.903577,7046.213088,30.440515355019
"9",1998,2231.446285,7094.833389,31.4517080620905
"10",1999,2244.837094,7138.140714,31.4484847517395
"11",2000,2351.125685,7327.593209,32.0859198640048
"12",2001,2311.387024,7219.162974,32.0173825182299
"13",2002,2326.759449,7259.157149,32.0527493928207
"14",2003,2357.952283,7313.828082,32.2396460043016
"15",2004,2390.768614,7428.447645,32.1839599368947
"16",2005,2456.73709,7434.827939,33.0436307357294
"17",2006,2401.231384,7360.801267,32.6218749413222
"18",2007,2467.226239,7463.786408,33.0559598591343
"19",2008,2414.114946,7240.643548,33.3411654640398
"20",2009,2198.273322,6787.264726,32.3882066007985
"21",2010,2313.956993,7007.442261,33.0214207525955
"22",2011,2211.767283,6845.087119,32.3117477476768
"23",2012,2073.78562,6606.523764,31.3899668582196
"24",2013,2092.343184,6784.494217,30.8400761659902
"25",2014,2092.5328,6843.355823,30.5775829011719
"26",2015,1952.725753,6689.006127,29.1930627050538
"27",2016,1860.497992,6537.871031,28.4572452282747
"28",2017,1780.55203,6500.975386,27.3889981776344
"29",2018,1799.826648,6687.512573,26.9132450721151
"30",2019,1650.961498,6571.725747,25.1221910584699
"31",2020,1482.182865,5981.354372,24.7800543625774
