"","Year","Industry","Gross.total","Percent_Industry"
"1",1990,1652.361348,6453.450223,25.6043091819475
"2",1991,1625.461259,6382.938922,25.4657185171793
"3",1992,1662.343992,6497.290079,25.5851896989006
"4",1993,1631.906633,6613.39575,24.6757746653828
"5",1994,1657.477536,6700.778176,24.7355977539526
"6",1995,1675.133984,6785.363615,24.6874608207714
"7",1996,1705.045256,6990.925581,24.3894064704964
"8",1997,1705.17277,7046.213088,24.1998467645547
"9",1998,1677.755099,7094.833389,23.6475616411406
"10",1999,1627.052157,7138.140714,22.7937809324615
"11",2000,1616.991263,7327.593209,22.0671537963373
"12",2001,1569.909847,7219.162974,21.7464247954239
"13",2002,1550.9615,7259.157149,21.3655865021968
"14",2003,1529.061153,7313.828082,20.9064410026694
"15",2004,1577.981113,7428.447645,21.242407410142
"16",2005,1536.17642,7434.827939,20.6618960466033
"17",2006,1570.640402,7360.801267,21.3378998430715
"18",2007,1560.386569,7463.786408,20.9060989115057
"19",2008,1501.553646,7240.643548,20.7378479004778
"20",2009,1345.926535,6787.264726,19.8301759152572
"21",2010,1438.77876,7007.442261,20.5321529084519
"22",2011,1443.335476,6845.087119,21.0857137521846
"23",2012,1440.040968,6606.523764,21.7972570665228
"24",2013,1489.536433,6784.494217,21.9550107253043
"25",2014,1474.546661,6843.355823,21.5471283261958
"26",2015,1464.017871,6689.006127,21.8869267452235
"27",2016,1424.355203,6537.871031,21.786223623046
"28",2017,1446.687191,6500.975386,22.2533866858729
"29",2018,1507.64746,6687.512573,22.5442186992954
"30",2019,1521.665941,6571.725747,23.1547389465338
"31",2020,1426.194536,5981.354372,23.8440066797634
