Year,Type,Generation
1990,Natural gas,372.77
1995,Natural gas,496.06
2000,Natural gas,601.04
2005,Natural gas,760.96
2010,Natural gas,987.70
2011,Natural gas,1013.69
2012,Natural gas,1225.89
2013,Natural gas,1124.84
2014,Natural gas,1126.61
2015,Natural gas,1333.48
2016,Natural gas,1378.31
2017,Natural gas,1296.44
2018,Natural gas,1469.13
2019,Natural gas,1585.81
2020,Natural gas,1624.17
2021,Natural gas,1575.23
1990,Coal,1594.01
1995,Coal,1709.43
2000,Coal,1966.27
2005,Coal,2012.87
2010,Coal,1847.29
2011,Coal,1733.43
2012,Coal,1514.04
2013,Coal,1581.12
2014,Coal,1581.71
2015,Coal,1352.40
2016,Coal,1239.15
2017,Coal,1205.84
2018,Coal,1149.49
2019,Coal,964.96
2020,Coal,773.39
2021,Coal,898.68
1990,Petroleum,126.46
1995,Petroleum,74.55
2000,Petroleum,111.22
2005,Petroleum,122.23
2010,Petroleum,37.06
2011,Petroleum,30.18
2012,Petroleum,23.19
2013,Petroleum,27.16
2014,Petroleum,30.23
2015,Petroleum,28.25
2016,Petroleum,24.21
2017,Petroleum,21.39
2018,Petroleum,25.23
2019,Petroleum,18.34
2020,Petroleum,17.34
2021,Petroleum,18.78
1990,Other gases,10.38
1995,Other gases,13.87
2000,Other gases,13.96
2005,Other gases,13.46
2010,Other gases,11.31
2011,Other gases,11.57
2012,Other gases,11.90
2013,Other gases,12.85
2014,Other gases,12.02
2015,Other gases,13.12
2016,Other gases,12.81
2017,Other gases,12.47
2018,Other gases,13.46
2019,Other gases,12.59
2020,Other gases,11.82
2021,Other gases,11.28
1990,Renewables,357.24
1995,Renewables,384.80
2000,Renewables,356.48
2005,Renewables,357.65
2010,Renewables,427.38
2011,Renewables,513.34
2012,Renewables,494.57
2013,Renewables,522.07
2014,Renewables,538.58
2015,Renewables,544.24
2016,Renewables,609.45
2017,Renewables,686.58
2018,Renewables,706.82
2019,Renewables,728.67
2020,Renewables,783.00
2021,Renewables,826.39
1990,Nuclear electric power,576.86
1995,Nuclear electric power,673.40
2000,Nuclear electric power,753.89
2005,Nuclear electric power,781.99
2010,Nuclear electric power,806.97
2011,Nuclear electric power,790.20
2012,Nuclear electric power,769.33
2013,Nuclear electric power,789.02
2014,Nuclear electric power,797.17
2015,Nuclear electric power,797.18
2016,Nuclear electric power,805.69
2017,Nuclear electric power,804.95
2018,Nuclear electric power,807.08
2019,Nuclear electric power,809.41
2020,Nuclear electric power,789.88
2021,Nuclear electric power,778.15
