Year,Transportation,Electric power industry,Industry,Agriculture,Commercial,Residential,Gross total
1990,1526.434289,1880.548218,1652.361348,596.7782037,427.1097945,345.0707892,6453.450223
1991,1480.303906,1874.832994,1625.461259,587.4933791,434.3210719,354.6897497,6382.938922
1992,1539.881716,1890.103637,1662.343992,588.301071,429.9390699,361.2220248,6497.290079
1993,1576.887693,1965.574487,1631.906633,616.3677197,423.3667576,372.6124987,6613.39575
1994,1631.84286,1990.300202,1657.477536,603.4730438,426.5831602,363.2601466,6700.778176
1995,1667.019781,2006.87748,1675.133984,615.6694674,425.6963637,367.5235211,6785.363615
1996,1723.249166,2079.434227,1705.045256,622.9079529,433.3072282,399.4548027,6990.925581
1997,1749.849331,2144.903577,1705.17277,611.3285207,425.7958774,380.8286588,7046.213088
1998,1792.295979,2231.446285,1677.755099,618.246994,400.5410056,346.8732536,7094.833389
1999,1863.292088,2244.837094,1627.052157,609.2897439,396.9265023,366.6844584,7138.140714
2000,1913.55078,2351.125685,1616.991263,594.8543002,411.1952894,387.9925386,7327.593209
2001,1885.434886,2311.387024,1569.909847,615.5265572,400.2090783,378.0768838,7219.162974
2002,1925.980857,2326.759449,1550.9615,618.6742482,401.730691,375.2866689,7259.157149
2003,1933.326749,2357.952283,1529.061153,618.9622898,417.9651174,393.7289434,7313.828082
2004,1965.852074,2390.768614,1577.981113,631.722629,415.7778277,381.8524349,7428.447645
2005,1975.495128,2456.73709,1536.17642,626.2532138,405.4424321,371.0155287,7434.827939
2006,1975.865366,2401.231384,1570.640402,625.7865013,391.9017623,334.3094,7360.801267
2007,1974.426677,2467.226239,1560.386569,642.7207482,405.856004,355.2548552,7463.786408
2008,1870.90605,2414.114946,1501.553646,631.0310541,413.1665119,363.9069816,7240.643548
2009,1796.295048,2198.273322,1345.926535,632.8604701,416.9037851,354.5451475,6787.264726
2010,1802.276351,2313.956993,1438.77876,641.0292595,419.2903162,355.5391842,7007.442261
2011,1768.59536,2211.767283,1443.335476,622.7172211,415.0676612,349.0938093,6845.087119
2012,1748.912231,2073.78562,1440.040968,606.4525784,396.0250101,306.9431239,6606.523764
2013,1751.515531,2092.343184,1489.536433,645.1572755,419.3419598,357.7310858,6784.494217
2014,1785.407075,2092.5328,1474.546661,654.1143399,429.6005258,378.2769923,6843.355823
2015,1793.399368,1952.725753,1464.017871,656.1010386,442.0847198,351.469522,6689.006127
2016,1828.045564,1860.497992,1424.355203,643.4202707,426.9066423,327.8126346,6537.871031
2017,1845.16261,1780.55203,1446.687191,644.3957277,428.48605,329.8809699,6500.975386
2018,1874.726295,1799.826648,1507.64746,657.9149823,444.2334991,377.3688578,6687.512573
2019,1874.291138,1650.961498,1521.665941,663.8956688,452.1397884,384.1781584,6571.725747
2020,1627.618555,1482.182865,1426.194536,635.1059606,425.3125143,361.9522568,5981.354372
