Year,Coal_emission,Total_emission
1990,1547,1880.548218
1991,1547,1874.832994
1992,1569,1890.103637
1993,1632,1965.574487
1994,1638,1990.300202
1995,1660,2006.87748
1996,1752,2079.434227
1997,1796,2144.903577
1998,1827,2231.446285
1999,1835,2244.837094
2000,1926,2351.125685
2001,1869,2311.387024
2002,1889,2326.759449
2003,1930,2357.952283
2004,1942,2390.768614
2005,1983,2456.73709
2006,1953,2401.231384
2007,1986,2467.226239
2008,1958,2414.114946
2009,1740,2198.273322
2010,1828,2313.956993
2011,1723,2211.767283
2012,1512,2073.78562
2013,1571,2092.343184
2014,1568,2092.5328
2015,1351,1952.725753
2016,1242,1860.497992
2017,1207,1780.55203
2018,1153,1799.826648
2019,974,1650.961498
2020,787,1482.182865
