Year,Type,Emission
1990,Natural gas,175.00
1991,Natural gas,179.00
1992,Natural gas,186.00
1993,Natural gas,188.00
1994,Natural gas,211.00
1995,Natural gas,228.00
1996,Natural gas,205.00
1997,Natural gas,219.00
1998,Natural gas,248.00
1999,Natural gas,260.00
2000,Natural gas,281.00
2001,Natural gas,289.00
2002,Natural gas,306.00
2003,Natural gas,278.00
2004,Natural gas,297.00
2005,Natural gas,319.00
2006,Natural gas,338.00
2007,Natural gas,371.00
2008,Natural gas,362.00
2009,Natural gas,373.00
2010,Natural gas,400.00
2011,Natural gas,409.00
2012,Natural gas,493.00
2013,Natural gas,444.00
2014,Natural gas,443.00
2015,Natural gas,525.00
2016,Natural gas,545.00
2017,Natural gas,506.00
2018,Natural gas,577.00
2019,Natural gas,616.00
2020,Natural gas,634.00
2021,Natural gas,615.00
1990,Coal,1547.00
1991,Coal,1547.00
1992,Coal,1569.00
1993,Coal,1632.00
1994,Coal,1638.00
1995,Coal,1660.00
1996,Coal,1752.00
1997,Coal,1796.00
1998,Coal,1827.00
1999,Coal,1835.00
2000,Coal,1926.00
2001,Coal,1869.00
2002,Coal,1889.00
2003,Coal,1930.00
2004,Coal,1942.00
2005,Coal,1983.00
2006,Coal,1953.00
2007,Coal,1986.00
2008,Coal,1958.00
2009,Coal,1740.00
2010,Coal,1828.00
2011,Coal,1723.00
2012,Coal,1512.00
2013,Coal,1571.00
2014,Coal,1568.00
2015,Coal,1351.00
2016,Coal,1242.00
2017,Coal,1207.00
2018,Coal,1153.00
2019,Coal,974.00
2020,Coal,787.00
2021,Coal,908.00
1990,Petroleum,98.00
1991,Petroleum,91.00
1992,Petroleum,76.00
1993,Petroleum,86.00
1994,Petroleum,81.00
1995,Petroleum,59.00
1996,Petroleum,63.00
1997,Petroleum,72.00
1998,Petroleum,101.00
1999,Petroleum,94.00
2000,Petroleum,89.00
2001,Petroleum,99.00
2002,Petroleum,77.00
2003,Petroleum,95.00
2004,Petroleum,96.00
2005,Petroleum,98.00
2006,Petroleum,53.00
2007,Petroleum,53.00
2008,Petroleum,38.00
2009,Petroleum,32.00
2010,Petroleum,31.00
2011,Petroleum,26.00
2012,Petroleum,18.00
2013,Petroleum,22.00
2014,Petroleum,25.00
2015,Petroleum,24.00
2016,Petroleum,21.00
2017,Petroleum,19.00
2018,Petroleum,22.00
2019,Petroleum,16.00
2020,Petroleum,16.00
2021,Petroleum,17.00
