Date, Total, Per Capita, 
1991,6382.938922,19.4073, 
1992,6497.290079,19.0034,
1993,6613.39575,19.0229,
1994,6700.778176,19.2183,
1995,6785.363615,19.2562,
1996,6990.925581,19.2169,
1997,7046.213088,19.5754,
1998,7094.833389,20.3309,
1999,7138.140714,20.2663,
2000,7327.593209,20.1011,
2001,7219.162974,20.4698,
2002,7259.157149,20.1715,
2003,7313.828082,19.4455,
2004,7428.447645,19.5065,
2005,7434.827939,19.5976,
2006,7360.801267,19.4693,
2007,7463.786408,18.9459,
2008,7240.643548,19.0429,
2009,6787.264726,18.2785,
2010,7007.442261,16.8087,
2011,6845.087119,17.4317,
2012,6606.523764,16.6042,
2013,6784.494217,15.7898,
2014,6843.355823,16.1112,
2015,6689.006127,16.0409,
2016,6537.871031,15.56,
2017,6500.975386,15.1499,
2018,6687.512573,14.8233,
2019,6571.725747,15.2225,
2020,5981.354372,14.6734,
